method,minimum_weight,p25_weight,median_weight,p75_weight,p95_weight,maximum_weight,design_effect,effective_sample_size,share_weights_above_3
Unweighted,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2400.0,0.0
Post-stratified,0.6375257731958762,0.6961,0.8886324786324786,1.0373821989528795,2.3322522522522524,2.3322522522522524,1.2019511019121987,1996.7534421174128,0.0
Raked,0.49774176327748904,0.6738230869993773,0.9320604576512047,1.1018510866192461,2.0633025070979794,2.312910485342466,1.1695858450267627,2052.0084183688823,0.0
